time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.157,-0.32,-0.03,0.94,0.00,0.01,0.00,0.00,-0.00,-0.00,0.00
0.158,-0.32,-0.03,0.94,0.00,0.01,0.00,0.00,-0.00,-0.00,0.00
0.158,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00
0.158,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00
0.159,-0.32,-0.03,0.94,0.00,-0.00,-0.00,-0.00,0.00,-0.00,0.00
0.159,-0.32,-0.03,0.94,-0.00,0.01,0.01,-0.00,0.00,-0.00,0.00
0.159,-0.32,-0.03,0.94,-0.00,0.01,0.01,-0.00,0.00,-0.00,0.00
0.16,-0.32,-0.03,0.94,-0.00,0.01,0.01,-0.00,0.00,0.00,0.00
0.16,-0.32,-0.03,0.94,0.00,0.00,0.01,-0.00,0.00,0.00,0.00
0.252,-0.32,-0.03,0.95,0.00,0.00,0.01,-0.00,0.00,0.00,0.00
0.252,-0.32,-0.03,0.95,0.00,0.00,0.01,-0.00,0.00,0.00,0.00
0.253,-0.32,-0.03,0.95,0.01,0.00,0.01,-0.00,0.00,0.00,0.00
0.313,-0.32,-0.03,0.95,0.01,0.00,0.01,-0.00,0.00,0.00,0.00
0.314,-0.32,-0.03,0.95,0.01,0.00,0.01,-0.00,0.00,-0.00,0.00
0.314,-0.32,-0.03,0.95,0.00,0.00,0.01,-0.00,0.00,-0.00,0.00
0.372,-0.32,-0.03,0.95,0.00,0.00,0.01,-0.00,0.00,-0.00,0.00
0.373,-0.32,-0.03,0.95,-0.00,0.00,0.02,-0.00,0.00,-0.00,0.00
0.373,-0.32,-0.03,0.95,-0.00,0.00,0.02,-0.00,0.00,-0.00,0.00
0.431,-0.32,-0.03,0.95,-0.00,0.00,0.02,-0.00,0.00,-0.00,0.00
0.431,-0.32,-0.03,0.95,-0.00,0.00,0.02,-0.00,0.00,-0.00,0.00
0.432,-0.32,-0.03,0.95,-0.01,0.00,0.02,-0.00,0.00,-0.00,0.00
0.491,-0.32,-0.03,0.95,-0.01,0.00,0.02,-0.00,0.00,-0.00,0.00
0.492,-0.32,-0.03,0.95,-0.01,0.00,0.02,-0.00,0.00,-0.00,0.00
0.493,-0.32,-0.03,0.95,0.01,-0.00,0.01,-0.00,0.00,-0.00,0.00
0.551,-0.32,-0.03,0.95,0.01,-0.00,0.01,-0.00,-0.00,-0.00,0.00
0.552,-0.32,-0.03,0.95,0.01,-0.00,0.01,-0.00,-0.00,-0.00,0.00
0.552,-0.32,-0.03,0.95,-0.01,0.00,0.02,-0.00,-0.00,-0.00,0.00
0.61,-0.32,-0.03,0.95,-0.01,0.00,0.02,-0.00,-0.00,-0.00,0.00
0.611,-0.32,-0.03,0.95,0.00,0.00,0.02,-0.00,-0.00,-0.00,0.00
0.611,-0.32,-0.03,0.95,0.00,0.00,0.02,-0.00,0.00,-0.00,0.00
0.668,-0.32,-0.03,0.95,0.00,0.00,0.02,-0.00,0.00,-0.00,0.00
0.671,-0.32,-0.03,0.95,0.00,0.00,0.02,-0.00,-0.00,-0.00,0.00
0.671,-0.32,-0.03,0.95,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
0.731,-0.32,-0.03,0.95,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00
0.732,-0.32,-0.03,0.95,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00
0.733,-0.32,-0.03,0.95,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00
0.85,-0.32,-0.03,0.95,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00
0.851,-0.32,-0.03,0.95,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
0.851,-0.32,-0.03,0.95,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
0.91,-0.32,-0.03,0.95,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
0.911,-0.32,-0.03,0.95,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
0.911,-0.32,-0.03,0.95,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
0.985,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
0.987,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
0.987,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,0.00
1.029,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,0.00
1.032,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,0.00,-0.00,0.00
1.034,-0.32,-0.03,0.94,0.01,0.01,-0.01,-0.00,0.00,-0.00,0.00
1.088,-0.32,-0.03,0.94,0.01,0.01,-0.01,-0.00,0.00,-0.00,0.00
1.089,-0.32,-0.03,0.94,0.01,0.01,-0.01,-0.00,0.00,0.00,0.00
1.089,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
1.149,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
1.153,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00
1.153,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00
1.213,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.214,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.215,-0.32,-0.03,0.94,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.271,-0.32,-0.03,0.94,0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.272,-0.32,-0.03,0.94,0.00,0.00,-0.01,-0.00,0.00,0.00,0.00
1.273,-0.32,-0.03,0.94,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
1.328,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.332,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.333,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.448,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.452,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.453,-0.32,-0.03,0.94,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
1.51,-0.32,-0.03,0.94,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
1.515,-0.32,-0.03,0.94,0.00,0.01,-0.01,0.00,0.00,0.00,0.00
1.518,-0.32,-0.03,0.94,-0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.576,-0.32,-0.03,0.94,-0.01,0.00,-0.00,0.00,0.00,-0.00,0.00
1.578,-0.32,-0.03,0.94,-0.01,0.00,-0.00,0.00,0.00,-0.00,0.00
1.578,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
1.627,-0.32,-0.03,0.94,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00
1.632,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,-0.00,0.00
1.635,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.686,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.689,-0.32,-0.03,0.94,0.01,0.00,-0.00,0.00,0.00,0.00,0.00
1.69,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,0.00,0.00,0.00,0.00
1.746,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,0.00,0.00,0.00
1.748,-0.32,-0.03,0.94,-0.00,-0.00,-0.01,-0.00,0.00,0.00,0.00
1.748,-0.32,-0.03,0.94,-0.00,0.00,-0.01,-0.00,0.00,0.00,0.00
1.806,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.807,-0.32,-0.03,0.94,-0.00,0.00,-0.01,0.00,0.00,0.00,0.00
1.807,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.864,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
1.867,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00
1.869,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
1.998,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2.0,-0.32,-0.03,0.94,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2.001,-0.32,-0.03,0.94,-0.00,0.01,-0.01,-0.00,0.00,0.00,0.00
2.044,-0.32,-0.03,0.94,-0.00,0.01,-0.01,-0.00,0.00,0.00,0.00
