time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.02,-0.07,-0.06,0.99,0.04,0.00,0.02,-0.00,-0.00,-0.00,0.00
0.046,-0.08,-0.06,0.99,0.04,0.00,0.02,-0.00,-0.00,-0.00,0.00
0.047,-0.08,-0.06,0.99,0.04,-0.01,0.01,-0.00,-0.00,-0.00,0.00
0.084,-0.08,-0.06,0.99,0.04,-0.01,0.01,-0.00,-0.00,0.00,0.00
0.105,-0.08,-0.06,0.99,-0.02,-0.01,0.02,-0.00,-0.00,0.00,0.00
0.106,-0.07,-0.06,1.00,-0.02,-0.01,0.02,-0.00,-0.00,0.00,0.00
0.144,-0.07,-0.06,1.00,-0.02,-0.01,0.02,-0.00,0.00,0.00,0.00
0.166,-0.07,-0.06,1.00,0.03,-0.00,0.06,-0.00,0.00,0.00,0.00
0.167,-0.07,-0.06,1.00,0.03,-0.00,0.06,-0.00,0.00,0.00,0.00
0.205,-0.07,-0.06,1.00,0.03,-0.00,0.06,-0.00,0.00,0.00,0.00
0.244,-0.07,-0.06,0.99,0.03,-0.00,0.06,-0.00,0.00,0.00,0.00
0.246,-0.07,-0.06,0.99,0.02,0.01,0.04,-0.00,0.00,0.00,0.00
0.284,-0.07,-0.06,0.99,0.02,0.01,0.04,0.00,0.00,0.00,0.00
0.305,-0.07,-0.06,0.99,0.01,-0.01,-0.04,0.00,0.00,0.00,0.00
0.307,-0.08,-0.06,0.99,0.01,-0.01,-0.04,0.00,0.00,0.00,0.00
0.346,-0.08,-0.06,0.99,0.01,-0.01,-0.04,0.00,0.01,0.00,0.00
0.365,-0.07,-0.06,0.99,0.01,-0.01,-0.04,0.00,0.01,0.00,0.00
0.366,-0.07,-0.06,0.99,-0.01,-0.01,-0.01,0.00,0.01,0.00,0.00
0.423,-0.07,-0.06,0.99,-0.01,-0.01,-0.01,0.00,0.01,0.00,0.00
0.452,-0.07,-0.06,0.99,0.01,-0.00,-0.01,0.00,0.01,0.00,0.00
0.453,-0.07,-0.06,0.99,0.01,-0.00,-0.01,0.00,0.01,0.00,0.00
0.484,-0.07,-0.06,0.99,0.01,-0.00,-0.01,0.00,0.01,0.00,0.00
0.505,-0.08,-0.06,0.99,0.01,-0.00,-0.01,0.00,0.01,0.00,0.00
0.506,-0.08,-0.06,0.99,0.02,-0.00,-0.00,0.00,0.01,0.00,0.00
0.545,-0.08,-0.06,0.99,0.02,-0.00,-0.00,0.00,0.01,0.00,0.00
0.564,-0.08,-0.06,0.99,0.02,-0.00,-0.00,0.00,0.01,0.00,0.00
0.565,-0.08,-0.06,0.99,-0.02,0.01,0.01,0.00,0.01,0.00,0.00
0.622,-0.08,-0.06,0.99,-0.02,0.01,0.01,0.00,0.00,0.00,0.00
0.643,-0.07,-0.06,0.99,-0.02,0.01,0.01,0.00,0.00,0.00,0.00
0.645,-0.07,-0.06,0.99,-0.02,0.02,-0.06,0.00,0.00,0.00,0.00
0.682,-0.07,-0.06,0.99,-0.02,0.02,-0.06,0.00,0.00,0.00,0.00
0.703,-0.08,-0.06,0.98,-0.02,0.02,-0.06,0.00,0.00,0.00,0.00
0.704,-0.08,-0.06,0.98,0.01,-0.01,0.02,0.00,0.00,0.00,0.00
0.744,-0.08,-0.06,0.98,0.01,-0.01,0.02,0.00,-0.00,0.00,0.00
0.763,-0.09,-0.06,0.99,0.01,-0.01,0.02,0.00,-0.00,0.00,0.00
0.764,-0.09,-0.06,0.99,-0.07,0.00,-0.07,0.00,-0.00,0.00,0.00
0.821,-0.09,-0.06,0.99,-0.07,0.00,-0.07,-0.00,0.00,0.00,0.00
0.844,-0.09,-0.06,0.99,-0.07,0.00,-0.07,-0.00,0.00,0.00,0.00
0.845,-0.09,-0.06,0.99,-0.07,0.00,-0.02,-0.00,0.00,0.00,0.00
0.904,-0.09,-0.06,0.99,-0.07,0.00,-0.02,-0.00,0.00,0.00,0.00
0.905,-0.09,-0.06,0.99,-0.07,0.00,-0.02,0.00,-0.01,-0.00,0.00
0.905,-0.09,-0.06,0.99,-0.08,0.01,-0.00,0.00,-0.01,-0.00,0.00
0.962,-0.08,-0.06,0.99,-0.08,0.01,-0.00,0.00,-0.01,-0.00,0.00
0.963,-0.08,-0.06,0.99,-0.08,0.01,-0.00,0.00,-0.01,-0.00,0.00
0.966,-0.08,-0.06,0.99,-0.07,0.01,-0.02,0.00,-0.01,-0.00,0.00
1.022,-0.08,-0.06,0.99,-0.07,0.01,-0.02,-0.00,-0.01,-0.00,0.00
1.083,-0.08,-0.06,0.99,-0.07,0.01,-0.02,-0.00,-0.00,-0.00,0.00
1.084,-0.08,-0.06,0.99,-0.07,0.01,-0.02,-0.00,-0.00,-0.00,0.00
1.084,-0.08,-0.06,0.99,-0.03,-0.02,-0.04,-0.00,-0.00,-0.00,0.00
