time,gFx,gFy,gFz,TgF
0.0310,0.0871,-0.0439,0.9500,0.955
0.0320,0.0827,-0.0444,0.9583,0.963
0.0320,0.0749,-0.0424,0.9725,0.976
0.0330,0.0729,-0.0429,0.9896,0.993
0.0330,0.0715,-0.0468,1.0018,1.005
0.0330,0.0661,-0.0493,1.0096,1.013
0.0340,0.0627,-0.0508,1.0155,1.019
0.0340,0.0548,-0.0537,1.0189,1.022
0.0350,0.0504,-0.0561,1.0208,1.024
0.0350,0.0475,-0.0561,1.0203,1.023
0.0360,0.0456,-0.0561,1.0174,1.020
0.0360,0.0451,-0.0547,1.0135,1.016
0.0370,0.0402,-0.0537,1.0086,1.011
0.0370,0.0368,-0.0537,1.0003,1.002
0.0380,0.0353,-0.0532,0.9949,0.997
0.0380,0.0338,-0.0542,0.9891,0.991
0.0390,0.0314,-0.0556,0.9852,0.987
0.0390,0.0290,-0.0576,0.9803,0.982
0.0390,0.0285,-0.0571,0.9778,0.980
0.0400,0.0265,-0.0566,0.9769,0.979
0.0400,0.0260,-0.0571,0.9754,0.977
0.0400,0.0250,-0.0591,0.9754,0.978
0.0400,0.0265,-0.0610,0.9773,0.980
0.0410,0.0285,-0.0630,0.9793,0.982
0.0410,0.0319,-0.0644,0.9813,0.984
0.0410,0.0348,-0.0630,0.9842,0.987
0.0410,0.0358,-0.0620,0.9866,0.989
0.0410,0.0382,-0.0620,0.9876,0.990
0.0420,0.0431,-0.0615,0.9857,0.989
0.0420,0.0465,-0.0615,0.9852,0.988
0.0420,0.0495,-0.0625,0.9861,0.989
0.0420,0.0509,-0.0630,0.9837,0.987
0.0480,0.0514,-0.0625,0.9827,0.986
0.0480,0.0548,-0.0630,0.9817,0.985
0.0480,0.0568,-0.0620,0.9798,0.983
0.0570,0.0568,-0.0620,0.9778,0.981
0.0570,0.0568,-0.0625,0.9808,0.984
0.0570,0.0588,-0.0635,0.9817,0.986
0.0600,0.0573,-0.0630,0.9842,0.988
0.0620,0.0573,-0.0630,0.9871,0.991
0.0640,0.0568,-0.0644,0.9910,0.995
0.0690,0.0573,-0.0635,0.9940,0.998
0.0700,0.0573,-0.0630,0.9979,1.001
0.0710,0.0597,-0.0630,0.9993,1.003
0.0760,0.0597,-0.0644,1.0023,1.006
0.0760,0.0602,-0.0630,1.0018,1.006
0.0800,0.0636,-0.0625,1.0032,1.007
0.0870,0.0656,-0.0610,1.0008,1.005
0.0870,0.0641,-0.0571,0.9998,1.004
0.0870,0.0661,-0.0556,0.9984,1.002
0.0910,0.0661,-0.0556,0.9954,0.999
0.0910,0.0695,-0.0552,0.9964,1.000
0.0940,0.0685,-0.0547,0.9935,0.997
0.0960,0.0676,-0.0503,0.9905,0.994
0.1000,0.0690,-0.0503,0.9905,0.994
0.1030,0.0685,-0.0512,0.9910,0.995
0.1030,0.0666,-0.0532,0.9935,0.997
0.1080,0.0680,-0.0532,0.9959,1.000
0.1080,0.0685,-0.0537,0.9969,1.001
0.1120,0.0685,-0.0508,0.9964,1.000
0.1140,0.0695,-0.0498,0.9988,1.002
0.1170,0.0685,-0.0473,0.9969,1.000
0.1190,0.0680,-0.0473,0.9949,0.998
0.1220,0.0690,-0.0459,0.9940,0.997
0.1260,0.0676,-0.0449,0.9920,0.995
0.1270,0.0651,-0.0434,0.9920,0.995
0.1290,0.0646,-0.0434,0.9905,0.994
0.1310,0.0627,-0.0429,0.9915,0.994
0.1420,0.0583,-0.0415,0.9901,0.993
0.1420,0.0573,-0.0415,0.9905,0.993
0.1420,0.0568,-0.0420,0.9925,0.995
0.1420,0.0539,-0.0424,0.9944,0.997
0.1440,0.0504,-0.0420,0.9959,0.998
0.1470,0.0480,-0.0424,1.0013,1.003
0.1510,0.0456,-0.0429,1.0037,1.006
0.1520,0.0446,-0.0420,1.0047,1.007
0.1530,0.0456,-0.0420,1.0047,1.007
0.1550,0.0451,-0.0415,1.0028,1.005
0.1580,0.0456,-0.0410,0.9998,1.002
0.1620,0.0446,-0.0415,0.9988,1.001
0.1650,0.0441,-0.0395,0.9964,0.998
0.1770,0.0461,-0.0381,0.9940,0.996
0.1780,0.0470,-0.0381,0.9920,0.994
0.1780,0.0475,-0.0356,0.9881,0.990
0.1780,0.0490,-0.0371,0.9852,0.987
0.1780,0.0500,-0.0371,0.9827,0.985
0.1790,0.0495,-0.0361,0.9832,0.985
0.1810,0.0495,-0.0371,0.9832,0.985
0.1860,0.0504,-0.0381,0.9852,0.987
0.1910,0.0500,-0.0385,0.9876,0.990
0.1910,0.0495,-0.0405,0.9901,0.992
0.1950,0.0509,-0.0424,0.9935,0.996
0.1950,0.0495,-0.0434,0.9964,0.999
0.1960,0.0500,-0.0449,0.9984,1.001
0.2070,0.0495,-0.0444,0.9969,0.999
0.2070,0.0509,-0.0439,0.9959,0.998
0.2080,0.0504,-0.0434,0.9959,0.998
0.2080,0.0509,-0.0459,0.9949,0.997
0.2100,0.0490,-0.0454,0.9930,0.995
0.2100,0.0475,-0.0454,0.9910,0.993
0.2130,0.0490,-0.0449,0.9886,0.991
0.2170,0.0475,-0.0459,0.9871,0.989
0.2180,0.0451,-0.0473,0.9871,0.989
0.2210,0.0465,-0.0483,0.9866,0.989
0.2240,0.0441,-0.0517,0.9891,0.991
0.2260,0.0421,-0.0517,0.9935,0.996
0.2290,0.0426,-0.0508,0.9974,1.000
0.2330,0.0431,-0.0512,0.9984,1.001
0.2330,0.0436,-0.0542,0.9988,1.001
0.2350,0.0441,-0.0556,1.0003,1.003
0.2390,0.0456,-0.0547,0.9993,1.002
0.2400,0.0461,-0.0556,0.9988,1.001
0.2440,0.0485,-0.0556,0.9988,1.002
0.2460,0.0509,-0.0556,0.9984,1.001
0.2550,0.0534,-0.0561,0.9959,0.999
0.2550,0.0548,-0.0542,0.9944,0.997
0.2550,0.0558,-0.0547,0.9891,0.992
0.2560,0.0573,-0.0556,0.9881,0.991
0.2590,0.0578,-0.0542,0.9866,0.990
0.2620,0.0602,-0.0527,0.9847,0.988
0.2640,0.0607,-0.0527,0.9871,0.990
0.2650,0.0636,-0.0552,0.9891,0.993
0.2680,0.0641,-0.0566,0.9959,1.000
0.2710,0.0617,-0.0581,0.9949,0.999
0.2740,0.0607,-0.0576,0.9959,0.999
0.2760,0.0646,-0.0556,0.9988,1.002
0.2780,0.0661,-0.0532,1.0018,1.005
0.2850,0.0646,-0.0508,1.0013,1.005
0.2850,0.0656,-0.0508,0.9993,1.003
